timestamp,open,high,low,close,volume
2020-02-05,64.2500,69.9000,63.8000,68.3000,95419
2020-01-31,69.0000,70.9000,64.9000,66.4500,68992
2020-01-24,71.0000,72.9000,0.0000,0.0000,73167
2020-01-17,71.1000,73.9500,68.0000,70.9500,290313
2020-01-10,74.0000,76.0000,68.0000,71.7000,148829
2020-01-03,65.1000,76.1500,65.1000,73.2000,123226
2019-12-27,64.1000,70.6000,63.6000,66.1000,70254
2019-12-20,67.8000,67.8000,63.5000,64.5500,75151
2019-12-13,65.9000,66.9500,62.2000,66.0500,57409
2019-12-06,73.8500,73.8500,61.0000,64.0000,173631
2019-11-29,65.3500,77.5500,65.3000,74.2500,396108
2019-11-22,62.8000,72.9000,60.4000,65.8000,437676
2019-11-15,65.6000,68.1000,57.5000,60.4000,639468
2019-11-08,76.8500,76.8500,65.1000,65.4000,212928
2019-11-01,80.8000,80.8000,0.0000,73.7000,488041
2019-10-18,79.1000,81.8500,77.0000,77.6500,326192
2019-10-11,80.0000,81.4500,78.0000,78.9000,156804
2019-10-04,83.9000,83.9000,73.8000,80.0000,446907
2019-09-27,89.7000,89.7000,79.9000,81.5500,278442
2019-09-20,90.0500,90.7000,79.5000,82.4500,140535
2019-09-13,80.9000,98.1000,80.0000,91.7000,435646
2019-09-06,79.2500,81.8000,79.2500,80.0000,57155
2019-08-30,81.0500,82.2000,77.2500,80.1500,75526
2019-08-23,80.3000,83.7000,78.4500,80.0500,233639
2019-08-16,82.0000,82.1500,79.1500,81.3500,48012
2019-08-09,80.0000,84.2000,78.4500,82.0500,240529
2019-08-02,79.0000,83.0000,78.0000,80.0000,208968
2019-07-26,83.9500,85.6000,69.1000,80.0500,395527
2019-07-19,74.0000,85.5000,71.0000,84.0000,393260
2019-07-12,88.7500,88.7500,64.1000,74.2000,1787407
2019-07-05,102.6500,103.9500,87.1000,88.7500,347872
2019-06-28,102.1500,105.7500,100.3000,102.8500,229113
2019-06-21,109.9000,110.0000,97.6000,103.3500,346004
2019-06-14,122.4500,123.8000,109.0000,109.1500,153607
2019-06-07,126.6000,128.9000,117.5500,119.9500,137418
2019-05-31,127.1000,132.5000,121.1000,126.6000,313904
2019-05-24,118.9500,133.8000,116.9500,126.8000,468655
2019-05-17,119.0000,120.3500,112.4500,114.6500,191688
2019-05-10,126.0000,128.2500,116.0000,120.5000,185071
2019-05-03,129.0000,132.7000,120.3000,129.9000,199368
2019-04-26,130.3000,137.9000,125.0000,131.2500,350421
2019-04-18,130.1000,134.0000,123.6500,130.3000,169184
2019-04-12,140.9500,144.8000,128.4500,132.2500,588597
2019-04-05,116.2000,142.7000,116.0500,140.4000,1492022
2019-03-28,114.0000,117.0000,111.0000,115.8500,398077
2019-03-22,112.9500,115.9000,108.0500,112.1500,224985
2019-03-15,114.4500,124.9000,111.5500,112.8500,807075
2019-03-08,104.6000,116.4000,103.0000,113.6500,753885
2019-03-01,98.7500,107.3000,97.2000,103.5500,377222
2019-02-22,96.0000,101.8000,92.0500,100.7000,206350
2019-02-15,106.8500,112.0000,95.3000,96.9500,160165
2019-02-08,101.5000,120.0000,90.6500,106.8500,491315
2019-02-01,115.2000,116.2500,100.5500,101.9000,210105
2019-01-25,119.5000,120.7000,115.1000,115.2000,190852
2019-01-18,120.9000,122.9000,118.0000,119.7500,299912
2019-01-11,118.5000,123.1500,116.8000,118.5500,200959
2019-01-04,118.6500,120.9000,116.0000,118.4500,154746
2018-12-28,120.0000,123.1000,116.6500,118.2500,182351
2018-12-21,119.1000,126.0000,115.0000,122.5000,433292
2018-12-14,115.0000,123.7000,112.7500,119.5000,301202
2018-12-07,112.2500,124.7000,108.4000,118.8500,2961206
2018-11-30,132.7000,132.7000,112.0000,114.8500,255310
2018-11-22,131.0000,131.3000,123.2500,124.2000,116166
2018-11-16,135.8000,137.3000,126.0000,128.1500,414861
2018-11-09,135.0500,136.7000,131.2500,134.7500,76233
2018-11-02,133.9500,137.0000,130.2500,134.6000,239643
2018-10-26,135.4500,137.3500,130.0000,131.1500,324457
2018-10-19,140.0000,144.3000,133.0500,136.1500,233052
2018-10-12,143.7500,143.7500,131.0000,140.3500,757253
2018-10-05,133.3500,148.7000,130.0500,139.4000,478630
2018-09-28,138.0500,147.7000,130.1000,136.0500,383546
2018-09-21,160.0500,160.2000,125.3000,137.9000,206900
2018-09-14,162.7000,167.0000,158.1000,159.5000,157863
2018-09-07,169.0000,169.7000,152.7000,163.0500,251251
2018-08-31,165.0000,169.7000,160.3000,166.6000,332320
2018-08-24,165.2000,171.9500,162.5000,164.4000,242959
2018-08-17,172.0000,177.3500,165.0000,166.6000,210612
2018-08-10,177.7500,191.8000,173.5000,174.5000,671476
2018-08-03,170.4500,179.8000,170.4500,176.2000,303706
2018-07-27,166.0000,175.9000,166.0000,169.9000,246011
2018-07-20,171.5000,178.0000,161.4500,168.6500,436429
2018-07-13,171.0000,187.2000,168.0500,170.4500,788808
2018-07-06,160.4000,176.2000,152.5000,171.0000,771620
2018-06-29,152.2500,159.4000,140.1500,158.3000,665055
2018-06-22,164.8500,166.3500,146.4500,155.3500,1010473
2018-06-15,183.1000,191.1000,161.4000,164.1500,2007854
2018-06-08,186.8000,195.6000,168.0000,183.2000,684056
2018-06-01,174.9000,202.0000,172.4500,185.4000,1600727
2018-05-25,168.8000,184.8000,156.1000,173.7500,1772895
2018-05-18,156.0000,173.5000,152.3000,170.8000,1045029
2018-05-11,150.0000,164.5000,147.6500,155.9500,1062913
2018-05-04,149.6500,150.9000,140.6000,148.0000,503645
2018-04-27,155.8000,164.4000,140.4500,148.2000,1152953
2018-04-20,135.7500,158.5000,131.3000,154.8500,1375003
2018-04-13,140.0000,144.3000,135.0000,135.7500,572564
2018-04-06,118.7000,143.4000,117.6500,140.4000,2909141
2018-03-28,120.8000,124.4000,115.1000,116.0500,1621288
2018-03-23,140.9000,141.1000,118.0000,120.5000,1503971
2018-03-16,149.7000,154.9000,137.1000,139.3500,2648351
2018-03-09,171.4000,173.0000,128.0000,145.9500,1508198
2018-03-01,185.4000,186.9000,169.9000,173.3500,750896
2018-02-23,191.0000,197.0000,181.1000,183.2500,1257329
2018-02-16,195.0000,209.7500,187.0000,188.5500,1661823
2018-02-09,186.0000,195.0000,176.2500,191.6500,1586056
2018-02-02,225.0000,232.0000,189.0000,194.4500,3086545
2018-01-25,235.7000,247.9000,233.0500,236.6500,1025998
2018-01-19,267.9500,272.7000,228.9500,233.2500,2475848
2018-01-12,263.1500,293.0000,261.3500,265.9000,3361332
2018-01-05,265.8000,270.3500,257.4000,263.0000,1150966
2017-12-29,264.0000,273.3000,258.8500,263.4500,1798084
2017-12-22,238.9000,276.8000,212.3000,263.7500,7674744
2017-12-15,238.0500,251.7000,230.0500,237.7500,521631
2017-12-08,238.4500,239.5500,219.0000,236.4500,631369
2017-12-01,248.4000,248.4000,235.1000,237.3500,402983
2017-11-24,245.0000,249.0000,239.0000,246.5500,468487
2017-11-17,257.8500,257.8500,238.1000,244.8000,1070585
2017-11-10,252.0500,276.9000,251.8500,256.1500,2379852
2017-11-03,258.4000,259.0000,244.3000,252.8000,750628
2017-10-27,263.6500,264.0000,253.0500,256.3000,2044214
2017-10-19,263.0000,266.9000,256.0000,259.5500,646613
2017-10-13,250.4000,277.0000,244.3000,258.3000,2583801
2017-10-06,250.5000,254.0000,239.0000,247.8000,837127
2017-09-29,254.6000,255.7000,225.6000,246.9500,1256703
2017-09-22,264.8500,283.4000,248.5000,251.9500,2602196
2017-09-15,227.9000,272.7000,227.0000,262.0500,2731654
2017-09-08,232.0000,240.7000,219.1500,226.7500,1499037
2017-09-01,218.5000,234.9000,213.2500,231.7000,3171902
2017-08-24,181.0000,226.0000,174.1000,216.9000,6323649
2017-08-18,183.0000,187.2500,179.1000,180.4500,1129103
2017-08-11,191.1000,193.3500,172.0000,179.8000,9376399
2017-08-04,205.0000,209.0000,190.4000,193.5500,859514
2017-07-28,196.3000,199.9500,187.1000,195.0500,181697
2017-07-21,196.1000,202.7500,191.1000,196.3000,193607
2017-07-14,201.2000,212.4000,193.1000,197.3000,289008
2017-07-07,193.9000,221.4500,188.0000,204.1000,1434054
2017-06-30,190.0000,198.7000,180.0000,193.4000,224452
2017-06-23,189.4000,199.0000,184.0000,186.6000,403763
2017-06-16,188.6500,191.0000,184.8000,187.8000,157127
2017-06-09,191.0000,194.4000,179.0500,185.8500,297673
2017-06-02,193.8500,195.0000,182.5000,187.1500,269205
2017-05-26,201.3500,207.6000,176.0000,189.8000,776626
2017-05-19,200.0000,207.6000,185.1000,199.9000,1876528
2017-05-12,164.5500,201.2500,164.5000,201.2500,1957101
2017-05-05,155.1000,169.0000,153.1000,163.5500,311451
2017-04-28,153.9000,174.9000,153.1000,158.9000,1567772
2017-04-21,130.2000,164.9000,119.0000,152.2100,7664730
2017-04-13,174.0000,176.4000,129.8000,130.9900,887240
2017-04-07,172.0000,174.5100,167.3200,168.0400,2305450
2017-03-31,167.0050,175.0000,165.0000,171.0400,2700140
2017-03-24,167.2600,171.8900,165.0250,165.8250,1202810
2017-03-17,171.0050,174.9650,166.6000,167.6350,775960
2017-03-10,178.7950,178.7950,164.0000,166.3500,500070
2017-03-03,178.6550,179.0050,162.5550,175.3200,898350
2017-02-23,182.9950,183.1950,176.8550,177.7300,1007440
2017-02-17,180.1500,186.9000,177.0000,182.8700,1422180
2017-02-10,184.2000,185.9950,180.0000,180.1650,1925670
2017-02-03,183.4000,188.5000,182.9900,184.2700,3242090
2017-01-27,185.0000,188.0000,182.0100,183.4900,1170750
2017-01-20,192.5050,192.5050,183.3000,184.0950,1647130
2017-01-13,191.0050,193.8950,186.5000,187.0850,1499330
2017-01-06,192.8050,198.5000,187.5550,193.5150,1504650
2016-12-30,191.9100,194.7000,186.9000,191.1150,1408670
2016-12-23,190.0950,194.5000,188.0000,191.8350,1788900
2016-12-16,184.0050,203.9900,180.0000,189.8100,2374430
2016-12-09,167.2000,184.9500,164.5000,183.6700,1573540
2016-12-02,167.5000,170.1000,156.0000,166.5500,253320
2016-11-25,178.8000,178.8000,161.3000,167.0000,205100
2016-11-18,175.0000,178.3000,159.9350,172.9000,81710
2016-11-11,189.0000,189.0000,170.4850,177.0700,58490
2016-11-04,186.0000,199.1000,180.0000,180.3650,95070
2016-10-28,189.9000,192.0000,183.3000,184.0000,124900
2016-10-21,175.0000,189.0900,170.0000,185.0100,233710
2016-10-14,171.3000,179.5000,170.4500,175.7550,40250
2016-10-10,175.0000,175.5000,168.5000,171.2050,42420
2016-10-07,146.0000,170.0000,145.7000,167.2000,228170
2016-09-30,136.5000,145.0000,134.5000,143.9500,394310
2016-09-23,126.5000,142.5000,117.7600,136.8350,101400
2016-09-16,102.5000,122.3000,102.5000,121.2000,73770
2016-09-09,97.3000,103.9150,96.9000,103.9150,296710
2016-09-02,96.2000,97.2950,96.0250,97.1500,246320
2016-08-26,97.3500,97.6700,96.1500,96.7800,336610
2016-08-19,98.0000,98.7000,97.3000,98.1200,238140
2016-08-12,99.9000,99.9000,94.4000,97.4500,346090
2016-08-05,92.9000,99.9950,88.2000,99.3500,482110
2016-07-29,95.7000,97.7000,92.8150,92.8150,402790
2016-07-22,98.0000,99.9000,95.0000,95.7600,257830
2016-07-15,102.7000,102.7000,98.0000,98.0000,330900
2016-07-08,97.2000,99.4500,96.7500,97.9550,408110
2016-07-01,91.9000,96.8500,91.8800,96.8500,532940
2016-06-24,87.5000,93.2000,87.0000,92.0500,462400
